,id,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện Quản lý
86,86,,IT Japanese 1,Tiếng Nhật chuyên ngành 1,BDHDADTCVT
87,87,,C Programming Language,Ngôn ngữ lập trình C,KCNTT
88,88,,C Programming Language Lab,Thực hành ngôn ngữ lập trình C,KCNTT
89,89,,Descriptive Geometry,Hình họa,KCK
90,90,,Calculus I,Giải tích I,KTTD
91,91,MI1013,Calculus II,Giải tích II,KTTD
92,92,,Math II,Toán II,KTTD
93,93,MI1017,General Mathematics II,Toán đại cương II,KTTD
94,94,MI1013,Calculus III,Giải tích III,KTTD
95,95,MI1027=,General Mathematics Exercises II,Bài tập toán đại cương II,KTTD
96,96,,Probability Theory,Lý thuyết xác suất,KTTD
97,97,,Discrete Mathematics,Toán rời rạc,KTTD
98,98,,Physics,Vật lý,VVLKT
99,99,,Physics,Vật lý,VVLKT
100,100,,Engineering Graphics,Đồ họa kỹ thuật,KCK
101,101,"(MI1010/MI1110/MI1111), (PH1010/PH1110)",Engineering Mechanics I,Cơ học kỹ thuật I,KCK
102,102,,Engineering Mechanics B,Cơ học kỹ thuật B,KCK
103,103,ME2140/ME2142,Engineering Mechanics II,Cơ học kỹ thuật II,KCK
104,104,ME2020,Technical Drawing II,Vẽ kỹ thuật II,KCK
105,105,ME3020,Technical Drawing III,Vẽ kỹ thuật III,KCK
106,106,ME2140/ME2142/ME2040,Strength of Materials I,Sức bền vật liệu I,KCK
107,107,ME2140/ME2142/ME2040/ME2141/ME2215/ME2112,Theory of Machinery,Nguyên lý máy,KCK
108,108,ME2012/ME2015/ME2020,Measurement Techniques,Kỹ thuật đo,KCK
109,109,"ME2140, ME3040",Hydrodynamics,Kỹ thuật thủy khí,KCK
110,110,"ME2140, ME3040",Hydrodynamics A,Kỹ thuật thủy khí A,KCK
111,111,ME3040/ME2101/ME2102/ME3190/ME3191/ME3041=,Machine Details,Chi tiết máy,KCK
112,112,,Plastic and Composite Materials,Vật liệu chất dẻo và composite,KCK
113,113,ME3040,Aeronautic Materials,Vật liệu hàng không,KCK
114,114,,Automatic Control Engineering,Kỹ thuật điều khiển tự động,KCK
115,115,"((ME3191/ME3050),(ME3090/ME3220))/ME3191/ME3061",Project in Machine Details,Đồ án chi tiết máy,KCK
116,116,,Safety and Environmental Engineering,Kỹ thuật an toàn và môi trường,KCK
117,117,,Mechanical Practicum,Thực tập cơ khí,KCK
118,118,,Engineering Practicum,Thực tập kỹ thuật,KCK
119,119,,Engineering Practicum (Automobile),Thực tập kỹ thuật ôtô,KCK
120,120,,Mechanical Technology,Công nghệ chế tạo máy,KCK
121,121,,Mechanical Technology I,Công nghệ chế tạo máy I,KCK
122,122,,Mechanical Technology C,Công nghệ chế tạo máy C,KCK
123,123,ME3170/ ME3172,Project in Mechanical Technology,Đồ án công nghệ chế tạo máy,KCK
124,124,,Mechanical Technology E1,Công nghệ chế tạo máy E1,KCK
125,125,,Project in Hydrostatic Machines,Đồ án máy thể tích,KCK
126,126,,CNC and PLC Pressing Machines,"Máy dập CNC, PLC",KCK
127,127,,Automobile Design Project,Đồ án môn học TKTT ôtô,KCK
128,128,,Aircraft Project,Đồ án máy bay,KCK
129,129,,Strength of Materials,Sức bền vật liệu,KCK
130,130,,Hydrodynamics,Kỹ thuật thủy khí,KCK
131,131,ME2040/ME2140/ME2142,Theory of Machinery C,Nguyên lý máy,KCK
132,132,,Machine Details C,Chi tiết máy C,KCK
133,133,,Tolerances and Measurement Techniques,Dung sai và kỹ thuật đo,KCK
134,134,ME3040/ME2030,Hydrodynamics C,Kỹ thuật thủy khí C,KCK
135,135,,Introduction to Control System Design,Nhập môn thiết kế hệ thống điều khiển,KD
136,136,"MI1020/MI1023, PH1010",Signals and Systems,Tín hiệu và hệ thống,KD
137,137,"MI1020/MI1023, PH1010",Electrical Circuit Theory I,Lý thuyết mạch điện I,KD
138,138,"MI1020/MI1023, PH1010",Electrical Circuit Theory,Lý thuyết mạch điện,KD
139,139,EE3010,Electrical Circuit Theory II,Lý thuyết mạch điện II,KD
140,140,EE3013=,Electrical Circuit Lab,Thí nghiệm mạch điện,KD
141,141,"MI1020/MI1023, PH1010",Electromagnetic Field Theory,Lý thuyết trường điện từ,KD
142,142,"MI1020/MI1023, PH1010",Electromagnetic Field Theory,Lý thuyết trường điện từ,KD
143,143,EE3010/EE3013,Analog Electronics,Mạch điện tử tương tự,KD
144,144,EE3010/EE3013,Analog Electronics,Mạch điện tử tương tự,KD
145,145,EE2010,Sensors and Signal Conditioning,Cảm biến đo lường và xử lý tín hiệu đo,KD
146,146,EE3010/EE3013,Measurement Fundamentals,Cơ sở kỹ thuật đo,KD
147,147,EE3010/EE3013,Digital Electronics,Kỹ thuật điện tử số,KD
148,148,EE3010/EE3013,Analog and Digital Electronics,Điện tử tương tự và số,KD
149,149,EE3090=,Electronic Circuit Lab,Thực hành mạch điện tử,KD
150,150,ET2010,Analog and Digital Electronics,Điện tử tương tự và số,KD
151,151,EE2010,Analog and Digital Electronics,Điện tử tương tự và điện tử số,KD
152,152,EE2110/EE3051/EE3052/EE2111,Measurement and Instrumentation Principles,Kỹ thuật đo lường,KD
153,153,EE3010/EE3013,Measurement and Instrumentation Principles,Kỹ thuật đo lường,KD
154,154,EE2010,Instrumentation and Control Engineering,Kỹ thuật đo và điều khiển,KD
155,155,EE2010,Electronic Measurement Instruments,Hệ thống đồng hồ đo điện tử,KD
156,156,PH1110,Electrical Machines,Máy điện cơ sở,KD
157,157,"EE3010,EE3030=",Electrical Machines I,Máy điện I,KD
158,158,EE3141,Electrical Machines II,Máy điện II,KD
159,159,EE3141/EE3142,Electrical Machines II,Máy điện II,KD
160,160,EE3030/EE3033=,Electrical Machines,Máy điện,KD
161,161,,Magnetic Circuits and Transformers,Mạch từ và máy biến áp,KD
162,162,,Electrical Machines,Máy điện,KD
163,163,EE2010,Electrical Machines,Máy điện,KD
164,164,EE2010,Electrical Devices,Thiết bị điện,KD
165,165,EE2010,Electrical Devices,Thiết bị điện,KD
166,166,EE3020,Electrical Apparatuses,Khí cụ điện,KD
167,167,PH1120/PH1121/PH1122,Electrical Apparatuses,Khí cụ điện,KD
168,168,EE3020/EE3013,Electrical Apparatuses,Khí cụ điện,KD
169,169,EE3020,Fundamentals of Electrical Apparatuses,Cơ sở lý thuyết khí cụ điện,KD
170,170,EE2010,Electrical Apparatuses,Khí cụ điện,KD
171,171,EE2010,Electrical Apparatuses,Khí cụ điện,KD
172,172,EE3010,Automatic Control Theory I,Lý thuyết điều khiển tự động I,KD
173,173,EE3000,Linear Control Theory,Lý thuyết điều khiển tuyến tính,KD
174,174,EE3282/EE3283,Nonlinear Control Theory,Lý thuyết điều khiển phi tuyến,KD
175,175,EE2010,Fundamentals of Automatic Control,Cơ sở điều khiển tự động,KD
176,176,"(MI1110/MI1111),(MI1140/MI1141)",Automatic Control Theory,Lý thuyết điều khiển tự động,KD
177,177,EE2010,Fundamentals of Automation,Cơ sở tự động hoá,KD
178,178,EE2010,Process Automation,Tự động hoá quá trình công nghệ,KD
179,179,EE3030=,High-Voltage DiElectrical Materials,Vật liệu điện cao áp,KD
180,180,EE3030,Electrical Materials,Vật liệu điện,KD
181,181,EE2021,Power Electronics,Điện tử công suất,KD
182,182,EE3090,Power Electronics,Điện tử công suất,KD
183,183,,Power Supply Systems,Cung cấp điện,KD
184,184,,Power Supply Systems,Hệ thống cung cấp điện,KD
185,185,EE3422=,Project in Electrical Power Supply Systems,Đồ án cung cấp điện,KD
186,186,,Power Supply Systems,Hệ thống cung cấp điện,KD
187,187,EE3449=,Project in Electrical Power Supply Systems,Đồ án cung cấp điện,KD
188,188,IT1010/IT1110/EE2130,Microprocessors,Vi xử lý,KD
189,189,IT1010/EE3090,Microprocessors,Kỹ thuật vi xử lý,KD
190,190,IT1010/IT1110,Programming Techniques,Kỹ thuật lập trình,KD
191,191,EE2010,Microprocessors,Vi xử lí,KD
192,192,EE3110/EE3062,Industrial Information Systems,Hệ thống thông tin công nghiệp,KD
193,193,"EE3410,(EE3140/EE3141/EE3142/EE3162)",Electrical Drives,Truyền động điện,KD
194,194,EE3410/EE3413,Electrical Drives,Truyền động điện,KD
195,195,EE3410/EE3413,Electrical Drives,Truyền động điện,KD
196,196,,Electrical Drives,Truyền động điện,KD
197,197,EE3410/EE3413,Electrical Drives,Truyền động điện,KD
198,198,EE3282/EE3283,Process Control,Điều khiển quá trình,KD
199,199,EE3282/EE3283,Process Control,Điều khiển quá trình,KD
200,200,EE2010,Electrical Equipments of Machines,Trang bị điện máy sản xuất,KD
201,201,,Introductory Practicum,Thực tập nhận thức,KD
202,202,,Project in Introductory Practicum,Đồ án nhận thức thực tế,KD
203,203,EE3141/EE3142,Workshop Practice,Thực tập xưởng điện,KD
204,204,IT1010,Programming,Lập trình,KDTVT
205,205,ET3010,Circuit Theory,Lý thuyết mạch,KDTVT
206,206,ET3010,Information Theory,Lý thuyết thông tin,KDTVT
207,207,"IT1010, PH3330",Digital Electronics,Điện tử số,KDTVT
208,208,PH1020,Electronic Devices,Cấu kiện điện tử,KDTVT
209,209,MI1010,Digital Signal Processing,Xử lý số tín hiệu,KDTVT
210,210,ET3070=,Analog Electronics I,Điện tử tương tự I,KDTVT
211,211,,Programming,Lập trình,KDTVT
212,212,ET3060/ET3061,Microprocessors,Kỹ thuật vi xử lý,KDTVT
213,213,ET3050,Digital Communications,Thông tin số,KDTVT
214,214,ET3090,Analog Electronics II,Điện tử tương tự II,KDTVT
215,215,ET3110,Electronic Measurement,Cơ sở đo lường điện tử,KDTVT
216,216,ET3160,Design Project I,Đồ án thiết kế I,KDTVT
217,217,ET3250/ET3130,Wireless Communications,Thông tin vô tuyến,KDTVT
218,218,ET3010,Fundamentals of Communication Networks,Cơ sở mạng thông tin,KDTVT
219,219,"(ET3060/ET3061), ET3030, (ET3090/ET3230)",Basic Practicum,Thực tập cơ bản,KDTVT
220,220,ET3550/ET2020,Advanced Practicum,Thực tập nâng cao,KDTVT
221,221,,Calculus II,Giải tích II,KTTD
222,222,,Math III,Toán III,KTTD
223,223,,Algebra,Đại số,KTTD
224,224,,Differential Equations and Series,Phương trình vi phân và chuỗi,KTTD
225,225,,Numerical Methods,Phương pháp tính,KTTD
226,226,,Probability and Statistics,Xác suất thống kê,KTTD
227,227,,Probability and Statistics,Xác xuất thống kê,KTTD
228,228,MI1023,Advanced Statistics,Xác suất nâng cao,KTTD
229,229,,Numerical Methods,Phương pháp tính,KTTD
230,230,MI1140/MI1030/MI1141/MI1142/MI1143,Discrete Mathematics,Toán rời rạc,KTTD
231,231,,Optimization,Tối ưu hoá,KTTD
232,232,,Applied Mathematics,Toán ứng dụng,KTTD
233,233,"MI1020,MI1030,MI1040",Functional Analysis,Giải tích hàm,KTTD
234,234,,Logics,Logic học,KTTD
235,235,MI2060/MI3020,Probability and Statistics,Xác suất thống kê,KTTD
236,236,,Formal Calculation and Applications,Phép tính hình thức & ứng dụng,KTTD
237,237,,Engineering Practicum,Thực tập kỹ thuật,KKHVCNVL
238,238,,Pneumatic and Hydraulic Automation Elements,Thiết bị khí nén và thủy lực trong tự động hóa,KD
239,239,"EE2130,(EE3490/EE3491)",Microcontrollers and Applications,Vi điều khiển và ứng dụng,KD
240,240,,Language Communication Skills 2,Language Communication Skills 2,KNN
241,241,,Dealing with Texts 2,Dealing with Texts 2,KNN
242,242,,Learning to learn 2,Learning to learn 2 (BTL),KNN
243,243,,Professional skills 1,Professional skills 1,KNN
244,244,,Operating Systems,Operating Systems,KCNTT
245,245,,Engineering Materials,Vật liệu kỹ thuật,KKHVCNVL
246,246,,Biomechanics,Cơ sinh,KDTVT
247,247,,Microprocessors,Kỹ thuật vi xử lý,KDTVT
248,248,,Electronic Circuits II,Mạch điện tử II,KDTVT
249,249,,Design Project,Đồ án thiết kế,KDTVT
250,250,,Digital Signal Processing,Xử lý số tín hiệu,KDTVT
251,251,,Computer Architectures,Kiến trúc máy tính,KDTVT
252,252,,Digital Communications 1,Thông tin số 1,KDTVT
253,253,,Fundamentals of Network Engineering,Cơ sở kỹ thuật mạng,KDTVT
254,254,,Biomedical Engineering Design IV,Thiết kế Kỹ thuật y sinh IV,KDTVT
255,255,,Digital Design using VHDL,Thiết kế số sử dụng VHDL,KDTVT
256,256,,Theory of Cryptography,Lý thuyết mật mã,KDTVT
257,257,,Biochemistry,Hóa sinh đại cương,KCNHH
258,258,,Manufacturing process of man-made fibers,Quá trình sản xuất xơ sợi nhân tạo,KCNDMVTT
259,259,,Design Project,Đồ án thiết kế,KCNDMVTT
260,260,,Mechanical design of overhead lines,Cơ khí đường dây,KD
261,261,,Big data,Xử lý dữ liệu lớn,KCNTT
262,262,,Electronic Commerce,Thương mại điện tử,KCNTT
263,263,,Modeling and simulation,Kỹ thuật mô hình hóa và mô phỏng,KCNTT
264,264,,Script Programming,Lập trình kịch bản với JavaScript,KCNTT
265,265,,Distributed Data Processing,Xử lý dữ liệu phân tán,KCNTT
266,266,IT3190,Web mining,Khai phá Web,KCNTT
267,267,,Applied Algorithms,Thuật toán ứng dụng,KCNTT
268,268,,Graduation Practicum,Thực tập tốt nghiệp KTTP,VCNSHVTP
269,269,,General Chemistry,Hoá học đại cương,KCNHH
270,270,,Instrumentation and Automatic Systems in environmental treatment,Dụng cụ và hệ thống tự động hóa đo trong xử lý môi trường,KD
271,271,,Electronic Properties of Materials,Các tính chất điện tử của vật liệu,KKHVCNVL
272,272,,Engineering Mechanics 1,Cơ học kỹ thuật 1,KCK
273,273,,Open-source based Cloud Computing,Điện toán đám mây - nguồn mở,KCNTT
274,274,,Open-source based Web Development,Phát triển Web trên nền tảng mã nguồn mở,KCNTT
275,275,,Open-source IT infrastructure,Hạ tầng công nghệ thông tin mã nguồn mở,KCNTT
276,276,,Innovation and Start-up,Đổi mới sáng tạo và khởi nghiệp công nghệ,KCNTT
277,277,,Basics Fashion Drawing,Hình họa thời trang cơ bản,KCNDMVTT
278,278,,Costume Art,Mỹ thuật trang phục,KCNDMVTT
279,279,,Advanced Fashion Drawing,Hình họa thời trang nâng cao,KCNDMVTT
280,280,,History of Costume,Lịch sử trang phục,KCNDMVTT
281,281,,Fashion Concept Development,Phát triển ý tưởng thời trang,KCNDMVTT
282,282,,Fashion Product Design and Development,Thiết kế thời trang theo chuyên đề,KCNDMVTT
283,283,,Computer aided Fashion Design,Tin học ứng dụng trong thiết kế thời trang,KCNDMVTT
284,284,,History of design,Lịch sử thiết kế mỹ thuật,KCNDMVTT
285,285,,Fashion Show Production,Trình diễn thời trang,KCNDMVTT
286,286,,Fashion Brand,Thương hiệu thời trang,KCNDMVTT
287,287,,Psychology and Behavior of Fashion Customers,Tâm lý và hành vi khách hàng thời trang,KCNDMVTT
288,288,,Decorative techniques for fashion products,Kỹ thuật trang trí sản phẩm thời trang,KCNDMVTT
289,289,,Graphic design for fashion brands,Đồ họa quảng cáo thời trang,KCNDMVTT
290,290,,Fashion Trend Forecasting,Dự báo xu hướng thời trang,KCNDMVTT
291,291,,Ethnic design in fashion,Tạo mẫu thời trang mang phong cách dân tộc,KCNDMVTT
292,292,,3D fashion design,Tạo mẫu thời trang 3D,KCNDMVTT
293,293,,Ready-to-wear collection,Thiết kế bộ sưu tập thời trang công nghiệp,KCNDMVTT
294,294,,Ready-to-wear design project,Đồ án thiết kế thời trang công nghiệp,KCNDMVTT
295,295,,Accessories Design,Đồ án thiết kế thời trang công nghiệp,KCNDMVTT
296,296,,Accessories Technical Design,Thiết kế phụ trang,KCNDMVTT
297,297,,Fashion Styling,Phong cách thời trang,KCNDMVTT
298,298,,FE-ITSS Practice in Japanese 1,Kỹ năng ITSS học bằng tiếng Nhật 1,KCNTT
299,299,,FE-ITSS Practice in Japanese 2,Kỹ năng ITSS học bằng tiếng Nhật 2,KCNTT
300,300,,Introduction to Electrical Engineering,Nhập môn công nghệ kỹ thuật điện,KD
301,301,,Electric Drives,Truyền động điện,KD
302,302,,Instrumentations,Kỹ thuật đo lường,KD
303,303,,Power Electronics,Điện tử công suất,KD
304,304,,Electric Machine II,Máy điện II,KD
305,305,,Electrical Materials,Vật liệu kỹ thuật điện,KD
306,306,,Laboratory Course in Power System Supply I,Thí nghiệm HTĐ I,KD
307,307,,Electric machine control,Điều khiển máy điện,KD
308,308,,Lighting Engineering,Chiếu sáng dân dụng & công nghiệp,KD
309,309,,High voltage Circuit Breaker,Thiết bị đóng cắt cao áp,KD
310,310,,Electric Machine III,Máy điện III,KD
311,311,,Manufacturing Technology of Electrical Machines,Công nghệ chế tạo máy điện,KD
312,312,,Electric Power Network I,Lưới điện I,KD
313,313,,Short Circuit Analysis,Ngắn mạch trong HTĐ,KD
314,314,,Power System Protection I,Bảo vệ và điều khiển HTĐ I,KD
315,315,,Laboratory Course in Power System Supply III,Thí nghiệm HTĐ III (BV & ĐK),KD
316,316,,Electric Parts of Power Plant and Substation,Phần điện Nhà máy điện và Trạm biến áp,KD
317,317,,Laboratory Course in Power System Supply IV,Thí nghiệm HTĐ IV (NMĐ & TBA),KD
318,318,,Project III,Đồ án III,KD
319,319,,Introduction to MIS,Nhập môn HTTTQL,KTTD
320,320,,Statistical inference,Suy luận thống kê,KTTD
321,321,,Information Systems Security,An toàn HTTT,KTTD
322,322,,Fundamentals of Economics,Kinh tế học đại cương,KKTVQL
323,323,,Data Mining,Khai phá dữ liệu,KTTD
324,324,,Data warehouse and Business intelligence,Kho dữ liệu và kinh doanh thông minh,KTTD
325,325,,Business Start-up,Khởi sự kinh doanh,KKTVQL
326,326,,Mobile programming,Lập trình mobile,KTTD
327,327,,Distributed systems,Hệ thống phân tán,KTTD
328,328,,IT project management,Quản trị dự án CNTT,KTTD
329,329,,Customer Relationship Management,Quản trị quan hệ khách hàng,KTTD
330,330,,Web and E-business,Công nghệ web và kinh doanh điện tử,KTTD
331,331,,Business Communication,Giao tiếp kinh doanh và thuyết trình,KKTVQL
332,332,,Report and Thesis Writing,Kỹ năng viết báo cáo khoa học,KKTVQL
333,333,,Calculus I,Giải tích I,KTTD
334,334,,Calculus II,Giải tích II,KTTD
335,335,,Calculus III,Giải tích III,KTTD
336,336,,Algebra,Đại số,KTTD
337,337,,Calculus I,Giải tích I,KTTD
338,338,,Calculus II,Giải tích II,KTTD
339,339,,Calculus III,Giải tích III,KTTD
340,340,,Algebra,Đại số,KTTD
341,341,,Calculus I,Giải tích I,KTTD
342,342,,Calculus III,Giải tích III,KTTD
343,343,,Algebra,Đại số,KTTD
344,344,,Introduction to Electrical Engineering,Nhập môn ngành Điện,KD
345,345,,Laboratory Course in Power System Supply II,Thí nghiệm HTĐ II (LĐ),KD
346,346,,Practical Pronunciation,Ngữ âm thực hành,KNN
347,347,,Grammar for Academic Writing,Ngữ pháp ứng dụng,KNN
348,348,,Computer Architectures,Kiến trúc máy tính,VDTLT
349,349,,Data Structures and Algorithms,Cấu trúc dữ liệu và giải thuật,VDTLT
350,350,MI3131,Introduction of Financial Mathematics,Toán tài chính đại cương,KKTVQL
351,351,IT1130/IT1110,Introduction of Applied Computing for Economics and Business,Tin học kinh tế cơ sở,KKTVQL
352,352,,Introduction to the Major of Business Administration,Nhập môn Quản trị kinh doanh,KKTVQL
353,353,,Introduction to the Major of Industrial Management,Nhập môn Quản lý công nghiệp,KKTVQL
354,354,,Introduction to the Major of Finance - Banking,Nhập môn Tài chính ngân hàng,KKTVQL
355,355,,Introduction to the Major of Energy Economics,Nhập môn Kinh tế công nghiệp,KKTVQL
356,356,,Introduction to the Major of Accounting,Nhập môn Kế toán,KKTVQL
357,357,,Chemistry II,Hoá học II,KCNHH
358,358,,Chemistry,Hoá học,KCNHH
359,359,,Chemistry,Hoá học,KCNHH
360,360,,Chemistry,Hoá học,KCNHH
361,361,,Physical Chemistry,Hoá lý,KCNHH
362,362,CH1018/CH1010/CH1012/CH1017,Physical Chemistry,Hoá lý,KCNHH
363,363,CH3081=,Physical Chemistry Lab,Thí nghiệm Hoá lý,KCNHH
364,364,,Principles of Microeconomics,Kinh tế vi mô đại cương,KKTVQL
365,365,,Principles of Macroeconomics,Kinh tế học vĩ mô đại cương,KKTVQL
366,366,,Sports theory,Lý luận TDTT,BGDTC
367,367,,Intensive basketball IV,Chuyên sâu Bóng rổ 4,BGDTC
368,368,,Speaking Skills I,Kỹ năng nói tiếng Anh I,VDTLT
369,369,,Listening Skills I,Kỹ năng nghe tiếng Anh I,VDTLT
370,370,,Reading Skills I,Kỹ năng đọc tiếng Anh I,VDTLT
371,371,,Writing Skills I,Kỹ năng viết tiếng Anh I,VDTLT
372,372,,English Grammar in Practice I,Ngữ pháp TA thực hành I,VDTLT
373,373,,Speaking Skills II,Kỹ năng nói tiếng Anh II,VDTLT
374,374,,Listening Skills II,Kỹ năng nghe tiếng Anh II,VDTLT
375,375,,Reading Skills II,Kỹ năng đọc tiếng Anh II,VDTLT
376,376,,Vietnamese Language in Practice,Tiếng Việt thực hành,VDTLT
377,377,,Speaking Skills III,Kỹ năng nói tiếng Anh III,VDTLT
378,378,,Writing Skills II,Kỹ năng viết tiếng Anh II (BTL),VDTLT
379,379,,Listening Skills III,Kỹ năng nghe tiếng Anh III,VDTLT
380,380,,English Grammar in Practice II,Ngữ pháp TA thực hành II,VDTLT
381,381,,English for Economics and Business I,Tiếng Anh kinh tế &KD I,VDTLT
382,382,,Reading Skills III,Kỹ năng đọc tiếng Anh III,VDTLT
383,383,,Fuldamentals of Power Electronics,Cơ sở điện tử công suất,KD
384,384,,Logic Control and PLC,Điều khiển logic và PLC,KD
385,385,,Electromagnetic compatibility,Tương thích điện từ,KD
386,386,,Sensor and Intelligent Instrumentation,Cảm biến và đo lường thông minh,KD
387,387,,Introduction to English for Science and Technology,Nhập môn Tiếng Anh KHCN,KNN
388,388,,Writing Skills III,Kỹ năng viết tiếng Anh III (BTL),VDTLT
389,389,,British Culture and Society,Văn hóa xã hội Anh,VDTLT
390,390,,English for Electrical and Electronic Eng. I,Tiếng Anh KT điện - điện tử I,VDTLT
391,391,,Translation I,Dịch viết I,VDTLT
392,392,,English for Environmental Science,Tiếng Anh Hóa- Môi trường,VDTLT
393,393,,English for ICT I,TA CN thông tin & truyền thông I,VDTLT
