,Unnamed: 0_x,id,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Trọng số,Unnamed: 0_y,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện Quản lý
58,58,58,FL1426,Tiếng Pháp AUF1,3(3-2-4-12),3.0,11,0.7,58,,French for AUF1,Tiếng Pháp AUF1,KNN
59,59,59,FL1427,Tiếng Pháp AUF2,3(3-1-5-12),3.0,11.5,0.7,59,FL1426,French for AUF2,Tiếng Pháp AUF2,KNN
60,60,60,MI1017,Toán đại cương I,2(2-0-0-4),2.0,2,0.7,60,,General Mathematics I,Toán đại cương I,KTTD
61,61,61,ICT1010,Giới thiệu ICT,2,2.0,2,1.0,61,,Introduction to ICT,Giới thiệu ICT,KCNTT
62,62,62,ICT1020,Kiến thức máy tính,4,4.0,4,1.0,62,,Computer Literacy,Kiến thức máy tính,KCNTT
63,63,63,ICT1030,Đạo lý máy tính,2,2.0,2,1.0,63,,Computer Ethics,Đạo lý máy tính,KCNTT
64,64,64,ICT1041,Tiếng Nhật 1,8(0-16-0-16),8.0,16,1.0,64,,Japanese 1,Tiếng Nhật 1,BDHDADTCVT
65,65,65,FL1012,Tiếng Anh VN I,3(2-1-0-4),3.0,3,1.0,65,,English I,Tiếng Anh VN I,KNN
66,66,66,SSH1060,Luật,2(2-0-0-4),2.0,2,0.7,66,,Laws,Luật,KML
67,67,67,MI1014,Toán I,5(5-3-0-10),5.0,8,0.5,67,,Math I,Toán I,KTTD
68,68,68,FL1011,Tiếng Anh KSCLC I,5(5-2-0-10),5.0,7,0.5,68,,English for Engineers I,Tiếng Anh KSCLC I,KNN
69,69,69,EV1014,Môi trường,2(2-0-0-4),2.0,2,0.7,69,,Environment,Môi trường,VKHVCNMT
70,70,70,FL1016,Kỹ năng nói TA I,2(2-2-0-4),2.0,4,0.5,70,,Speaking Skills I,Kỹ năng nói TA I,KNN
71,71,71,FL1017,Kỹ năng nghe TA I,2(2-2-0-4),2.0,4,0.6,71,,Listening Skills I,Kỹ năng nghe TA I,KNN
72,72,72,FL1018,Kỹ năng đọc TA I,2(2-2-0-4),2.0,4,0.6,72,,Reading Skills I,Kỹ năng đọc TA I,KNN
73,73,73,FL1019,Kỹ năng viết TA I,2(2-2-0-4),2.0,4,0.5,73,,Writing Skills I,Kỹ năng viết TA I,KNN
74,74,74,IT1013,Tin học đại cương,4(3-0-2-6),4.0,6,1.0,74,,Introduction to Computer Science,Tin học đại cương,KCNTT
75,75,75,PH1017,Vật lý,4(4-0-0-8),4.0,4,0.7,75,,Physics,Vật lý,VVLKT
76,76,76,ICT1043,Tiếng Nhật 3,4(0-8-0-8),4.0,8,1.0,76,,Japanese 3,Tiếng Nhật 3,BDHDADTCVT
77,77,77,FL1013,Tiếng Anh VN II,2(2-1-0-4),2.0,3,0.7,77,,English III,Tiếng Anh VN II,KNN
78,78,78,FL1021,Tiếng Anh KSCLC II,3(3-2-0-6),3.0,5,0.5,78,,English for Engineers II,Tiếng Anh KSCLC II,KNN
79,79,79,FL1026,Kỹ năng nói TA II,2(2-2-0-4),2.0,4,0.5,79,FL1016,Speaking Skills II,Kỹ năng nói TA II,KNN
80,80,80,FL1027,Kỹ năng nghe TA II,2(2-2-0-4),2.0,4,0.6,80,FL1017,Listening Skills II,Kỹ năng nghe TA II,KNN
81,81,81,FL1028,Kỹ năng đọc TA II,2(2-2-0-4),2.0,4,0.6,81,FL1018,Reading Skills II,Kỹ năng đọc TA II,KNN
82,82,82,FL1029,Kỹ năng viết TA II,2(2-2-0-4),2.0,4,0.5,82,FL1019,Writing Skills II,Kỹ năng viết TA II,KNN
83,83,83,FL1401,Tiếng Pháp KSCLC 1,3(3-2-0-6),3.0,5,0.6,83,,French 1,Tiếng Pháp KSCLC 1,KNN
84,84,84,HUT0001,Rèn luyện, ,0.0,0,1.0,84,,,Rèn luyện,PDTDH
85,85,85,ICT1042,Tiếng Nhật 2,8(0-16-0-16),8.0,16,0.6,85,,Japanese 2,Tiếng Nhật 2,BDHDADTCVT
86,86,86,ICT1051,Tiếng Nhật chuyên ngành 1, ,2.0,0,0.6,86,,IT Japanese 1,Tiếng Nhật chuyên ngành 1,BDHDADTCVT
87,87,87,ICT2010,Ngôn ngữ lập trình C,2,2.0,2,0.8,87,,C Programming Language,Ngôn ngữ lập trình C,KCNTT
88,88,88,ICT2110,Thực hành ngôn ngữ lập trình C,4,4.0,4,0.7,88,,C Programming Language Lab,Thực hành ngôn ngữ lập trình C,KCNTT
89,89,89,ME1010,Hình họa,2(1-1-0-4),2.0,2,1.0,89,,Descriptive Geometry,Hình họa,KCK
90,90,90,MI1016,Giải tích I,4(3-2-0-8),4.0,5,0.7,90,,Calculus I,Giải tích I,KTTD
91,91,91,MI1023,Giải tích II,3(2-2-0-6),3.0,4,0.7,91,MI1013,Calculus II,Giải tích II,KTTD
92,92,92,MI1024,Toán II,5(4-3-0-10),5.0,7,0.5,92,,Math II,Toán II,KTTD
93,93,93,MI1027,Toán đại cương II,2(2-0-0-4),2.0,2,0.7,93,MI1017,General Mathematics II,Toán đại cương II,KTTD
94,94,94,MI1043,Giải tích III,3(3-1-0-6),3.0,4,0.7,94,MI1013,Calculus III,Giải tích III,KTTD
95,95,95,MI1127,Bài tập toán đại cương II,1(0-2-0-4),1.0,2,0.7,95,MI1027=,General Mathematics Exercises II,Bài tập toán đại cương II,KTTD
96,96,96,MI2027,Lý thuyết xác suất,2(2-0-0-4),2.0,2,0.7,96,,Probability Theory,Lý thuyết xác suất,KTTD
97,97,97,MI2047,Toán rời rạc,2(2-0-0-4),2.0,2,0.7,97,,Discrete Mathematics,Toán rời rạc,KTTD
98,98,98,PH1027,Vật lý,4(4-0-0-8),4.0,4,0.7,98,,Physics,Vật lý,VVLKT
99,99,99,PH1019,Vật lý,4(4-0-0-8),4.0,4,0.5,99,,Physics,Vật lý,VVLKT
100,100,100,ME2023,Đồ họa kỹ thuật,2(2-0-1-4),2.0,3.5,0.6,100,,Engineering Graphics,Đồ họa kỹ thuật,KCK
101,101,101,ME2140,Cơ học kỹ thuật I,3(2-2-0-6),3.0,4,0.7,101,"(MI1010/MI1110/MI1111), (PH1010/PH1110)",Engineering Mechanics I,Cơ học kỹ thuật I,KCK
102,102,102,ME2141,Cơ học kỹ thuật B,4(4-2-0-8),4.0,6,0.7,102,,Engineering Mechanics B,Cơ học kỹ thuật B,KCK
103,103,103,ME3010,Cơ học kỹ thuật II,3(2-2-0-6),3.0,4,0.7,103,ME2140/ME2142,Engineering Mechanics II,Cơ học kỹ thuật II,KCK
104,104,104,ME3020,Vẽ kỹ thuật II,2(2-1-0-4),2.0,3,0.7,104,ME2020,Technical Drawing II,Vẽ kỹ thuật II,KCK
105,105,105,ME3030,Vẽ kỹ thuật III,2(2-1-0-4),2.0,3,0.7,105,ME3020,Technical Drawing III,Vẽ kỹ thuật III,KCK
106,106,106,ME3040,Sức bền vật liệu I,2(2-0-1-4),2.0,3.5,0.6,106,ME2140/ME2142/ME2040,Strength of Materials I,Sức bền vật liệu I,KCK
107,107,107,ME3060,Nguyên lý máy,3(3-0-1-6),3.0,4.5,0.6,107,ME2140/ME2142/ME2040/ME2141/ME2215/ME2112,Theory of Machinery,Nguyên lý máy,KCK
108,108,108,ME3070,Kỹ thuật đo,3(3-0-1-6),3.0,4.5,0.7,108,ME2012/ME2015/ME2020,Measurement Techniques,Kỹ thuật đo,KCK
109,109,109,ME3080,Kỹ thuật thủy khí,3(3-1-0.5-6),3.0,5,0.7,109,"ME2140, ME3040",Hydrodynamics,Kỹ thuật thủy khí,KCK
110,110,110,ME3087,Kỹ thuật thủy khí A,4(3-2-0.5-8),4.0,6,0.7,110,"ME2140, ME3040",Hydrodynamics A,Kỹ thuật thủy khí A,KCK
111,111,111,ME3090,Chi tiết máy,3(3-0-1-6),3.0,4.5,0.6,111,ME3040/ME2101/ME2102/ME3190/ME3191/ME3041=,Machine Details,Chi tiết máy,KCK
112,112,112,ME3110,Vật liệu chất dẻo và composite,2(2-0-1-4),2.0,3.5,0.7,112,,Plastic and Composite Materials,Vật liệu chất dẻo và composite,KCK
113,113,113,ME3117,Vật liệu hàng không,2(2-1-0-4),2.0,3,0.7,113,ME3040,Aeronautic Materials,Vật liệu hàng không,KCK
114,114,114,ME3120,Kỹ thuật điều khiển tự động,3(3-0-1-6),3.0,4.5,0.7,114,,Automatic Control Engineering,Kỹ thuật điều khiển tự động,KCK
115,115,115,ME3130,Đồ án chi tiết máy,2(0-0-4-4),2.0,4,1.0,115,"((ME3191/ME3050),(ME3090/ME3220))/ME3191/ME3061",Project in Machine Details,Đồ án chi tiết máy,KCK
116,116,116,ME3140,Kỹ thuật an toàn và môi trường,2(2-1-0-4),2.0,3,0.7,116,,Safety and Environmental Engineering,Kỹ thuật an toàn và môi trường,KCK
117,117,117,ME3150,Thực tập cơ khí,2(0-0-4-4),2.0,4,0.7,117,,Mechanical Practicum,Thực tập cơ khí,KCK
118,118,118,ME3160,Thực tập kỹ thuật,2(0-0-8-4),2.0,4,1.0,118,,Engineering Practicum,Thực tập kỹ thuật,KCK
119,119,119,ME3167,Thực tập kỹ thuật ôtô,2.5(5-5-20-10),2.5,5,0.7,119,,Engineering Practicum (Automobile),Thực tập kỹ thuật ôtô,KCK
120,120,120,ME3170,Công nghệ chế tạo máy,4(4-0-1-8),4.0,5.5,0.7,120,,Mechanical Technology,Công nghệ chế tạo máy,KCK
121,121,121,ME3172,Công nghệ chế tạo máy I,4(4-2-0.5-8),4.0,7,0.7,121,,Mechanical Technology I,Công nghệ chế tạo máy I,KCK
122,122,122,ME3177,Công nghệ chế tạo máy C,3(3-1-0.5-6),3.0,5,0.6,122,,Mechanical Technology C,Công nghệ chế tạo máy C,KCK
123,123,123,ME3180,Đồ án công nghệ chế tạo máy,2(0-0-4-4),2.0,4,1.0,123,ME3170/ ME3172,Project in Mechanical Technology,Đồ án công nghệ chế tạo máy,KCK
124,124,124,ME3182,Công nghệ chế tạo máy E1,3(3-1-0.5-6),3.0,5,0.7,124,,Mechanical Technology E1,Công nghệ chế tạo máy E1,KCK
125,125,125,ME3184,Đồ án máy thể tích,1(0-2-0-2),1.0,2,1.0,125,,Project in Hydrostatic Machines,Đồ án máy thể tích,KCK
126,126,126,ME3186,"Máy dập CNC, PLC",2(2-1-0-4),2.0,3,1.0,126,,CNC and PLC Pressing Machines,"Máy dập CNC, PLC",KCK
127,127,127,ME3187,Đồ án môn học TKTT ôtô,1(0-2-0-2),1.0,2,1.0,127,,Automobile Design Project,Đồ án môn học TKTT ôtô,KCK
128,128,128,ME3188,Đồ án máy bay,1(0-2-0-2),1.0,2,1.0,128,,Aircraft Project,Đồ án máy bay,KCK
129,129,129,ME3190,Sức bền vật liệu,2(2-0-0-4),2.0,2,0.7,129,,Strength of Materials,Sức bền vật liệu,KCK
130,130,130,ME3200,Kỹ thuật thủy khí,2(2-1-0.5-4),2.0,4,0.7,130,,Hydrodynamics,Kỹ thuật thủy khí,KCK
131,131,131,ME3210,Nguyên lý máy,2(2-1-0-4),2.0,3,0.6,131,ME2040/ME2140/ME2142,Theory of Machinery C,Nguyên lý máy,KCK
132,132,132,ME3220,Chi tiết máy C,2(2-1-0-4),2.0,3,0.7,132,,Machine Details C,Chi tiết máy C,KCK
133,133,133,ME3230,Dung sai và kỹ thuật đo,2(2-1-0-4),2.0,3,0.7,133,,Tolerances and Measurement Techniques,Dung sai và kỹ thuật đo,KCK
134,134,134,ME3400,Kỹ thuật thủy khí C,2(2-1-0.5-4),2.0,4,0.7,134,ME3040/ME2030,Hydrodynamics C,Kỹ thuật thủy khí C,KCK
135,135,135,EE2040,Nhập môn thiết kế hệ thống điều khiển,3(3-1-0-6),3.0,4,0.7,135,,Introduction to Control System Design,Nhập môn thiết kế hệ thống điều khiển,KD
136,136,136,EE3000,Tín hiệu và hệ thống,3(3-1-0-6),3.0,4,0.7,136,"MI1020/MI1023, PH1010",Signals and Systems,Tín hiệu và hệ thống,KD
137,137,137,EE3010,Lý thuyết mạch điện I,4(3-2-0.5-6),4.0,6,0.7,137,"MI1020/MI1023, PH1010",Electrical Circuit Theory I,Lý thuyết mạch điện I,KD
138,138,138,EE3013,Lý thuyết mạch điện,4(4-1-0-8),4.0,5,0.7,138,"MI1020/MI1023, PH1010",Electrical Circuit Theory,Lý thuyết mạch điện,KD
139,139,139,EE3020,Lý thuyết mạch điện II,2(2-1-0.4-4),2.0,3.5,0.75,139,EE3010,Electrical Circuit Theory II,Lý thuyết mạch điện II,KD
140,140,140,EE3023,Thí nghiệm mạch điện,1(0-0-2-2),1.0,3,0.7,140,EE3013=,Electrical Circuit Lab,Thí nghiệm mạch điện,KD
141,141,141,EE3030,Lý thuyết trường điện từ,2(2-1-0.3-4),2.0,3.5,0.75,141,"MI1020/MI1023, PH1010",Electromagnetic Field Theory,Lý thuyết trường điện từ,KD
142,142,142,EE3033,Lý thuyết trường điện từ,2(2-0-0-4),2.0,2,0.7,142,"MI1020/MI1023, PH1010",Electromagnetic Field Theory,Lý thuyết trường điện từ,KD
143,143,143,EE3051,Mạch điện tử tương tự,2(2-1-0.5-4),2.0,4,0.75,143,EE3010/EE3013,Analog Electronics,Mạch điện tử tương tự,KD
144,144,144,EE3052,Mạch điện tử tương tự,3(3-1-0.5-6),3.0,5,0.75,144,EE3010/EE3013,Analog Electronics,Mạch điện tử tương tự,KD
145,145,145,EE3059,Cảm biến đo lường và xử lý tín hiệu đo,2(2-1-0-4),2.0,3,0.7,145,EE2010,Sensors and Signal Conditioning,Cảm biến đo lường và xử lý tín hiệu đo,KD
146,146,146,EE3062,Cơ sở kỹ thuật đo,3(3-1-0-6),3.0,4,0.75,146,EE3010/EE3013,Measurement Fundamentals,Cơ sở kỹ thuật đo,KD
147,147,147,EE3071,Kỹ thuật điện tử số,2(2-1-0.5-4),2.0,4,0.75,147,EE3010/EE3013,Digital Electronics,Kỹ thuật điện tử số,KD
148,148,148,EE3090,Điện tử tương tự và số,4(3-1-1-8),4.0,5.5,0.7,148,EE3010/EE3013,Analog and Digital Electronics,Điện tử tương tự và số,KD
149,149,149,EE3093,Thực hành mạch điện tử,1(0-0-3-2),1.0,4.5,0.7,149,EE3090=,Electronic Circuit Lab,Thực hành mạch điện tử,KD
150,150,150,EE3099,Điện tử tương tự và số,4(4-2-0.5-8),4.0,7,0.75,150,ET2010,Analog and Digital Electronics,Điện tử tương tự và số,KD
151,151,151,EE3109,Điện tử tương tự và điện tử số,2(2-1-0-4),2.0,3,0.75,151,EE2010,Analog and Digital Electronics,Điện tử tương tự và điện tử số,KD
152,152,152,EE3110,Kỹ thuật đo lường,3(3-0-1-6),3.0,4.5,0.6,152,EE2110/EE3051/EE3052/EE2111,Measurement and Instrumentation Principles,Kỹ thuật đo lường,KD
153,153,153,EE3116,Kỹ thuật đo lường,3(3-0-0.5-6),3.0,4,0.7,153,EE3010/EE3013,Measurement and Instrumentation Principles,Kỹ thuật đo lường,KD
154,154,154,EE3129,Kỹ thuật đo và điều khiển,2(2-1-0.4-4),2.0,3.5,0.75,154,EE2010,Instrumentation and Control Engineering,Kỹ thuật đo và điều khiển,KD
155,155,155,EE3139,Hệ thống đồng hồ đo điện tử,2(2-1-0-4),2.0,3,0.75,155,EE2010,Electronic Measurement Instruments,Hệ thống đồng hồ đo điện tử,KD
156,156,156,EE3141,Máy điện cơ sở,3(3-0-1-8),3.0,4.5,0.7,156,PH1110,Electrical Machines,Máy điện cơ sở,KD
157,157,157,EE3142,Máy điện I,2(2-1-0.4-4),2.0,3.5,0.7,157,"EE3010,EE3030=",Electrical Machines I,Máy điện I,KD
158,158,158,EE3161,Máy điện II,3(3-1-0.5-6),3.0,5,0.75,158,EE3141,Electrical Machines II,Máy điện II,KD
159,159,159,EE3162,Máy điện II,2(2-1-0.4-4),2.0,3.5,0.75,159,EE3141/EE3142,Electrical Machines II,Máy điện II,KD
160,160,160,EE3173,Máy điện,3(3-1-0-6),3.0,4,0.7,160,EE3030/EE3033=,Electrical Machines,Máy điện,KD
161,161,161,EE3186,Mạch từ và máy biến áp,2(2-1-0-4),2.0,3,0.75,161,,Magnetic Circuits and Transformers,Mạch từ và máy biến áp,KD
162,162,162,EE3196,Máy điện,3(2-1-1-4),3.0,4.5,0.75,162,,Electrical Machines,Máy điện,KD
163,163,163,EE3209,Máy điện,2(2-1-0.4-4),2.0,3.5,0.75,163,EE2010,Electrical Machines,Máy điện,KD
164,164,164,EE3229,Thiết bị điện,3(3-1-0.3-6),3.0,4.5,0.75,164,EE2010,Electrical Devices,Thiết bị điện,KD
165,165,165,EE3239,Thiết bị điện,2(1-1-0.3-2),2.0,2.5,0.75,165,EE2010,Electrical Devices,Thiết bị điện,KD
166,166,166,EE3241,Khí cụ điện,3(3-1-0.3-6),3.0,4.5,0.75,166,EE3020,Electrical Apparatuses,Khí cụ điện,KD
167,167,167,EE3242,Khí cụ điện,2(2-0-1-4),2.0,3.5,0.75,167,PH1120/PH1121/PH1122,Electrical Apparatuses,Khí cụ điện,KD
168,168,168,EE3243,Khí cụ điện,2(2-0-0.5-4),2.0,3,0.7,168,EE3020/EE3013,Electrical Apparatuses,Khí cụ điện,KD
169,169,169,EE3251,Cơ sở lý thuyết khí cụ điện,3(3-2-0.3-6),3.0,5.5,0.75,169,EE3020,Fundamentals of Electrical Apparatuses,Cơ sở lý thuyết khí cụ điện,KD
170,170,170,EE3269,Khí cụ điện,3(3-1-0.3-6),3.0,4.5,0.75,170,EE2010,Electrical Apparatuses,Khí cụ điện,KD
171,171,171,EE3279,Khí cụ điện,2(2-1-0.3-4),2.0,3.5,0.75,171,EE2010,Electrical Apparatuses,Khí cụ điện,KD
172,172,172,EE3281,Lý thuyết điều khiển tự động I,2(2-1-0.5-4),2.0,4,0.75,172,EE3010,Automatic Control Theory I,Lý thuyết điều khiển tự động I,KD
173,173,173,EE3283,Lý thuyết điều khiển tuyến tính,4(3-1-0.5-8),4.0,5,0.7,173,EE3000,Linear Control Theory,Lý thuyết điều khiển tuyến tính,KD
174,174,174,EE3293,Lý thuyết điều khiển phi tuyến,4(3-1-0.5-8),4.0,5,0.7,174,EE3282/EE3283,Nonlinear Control Theory,Lý thuyết điều khiển phi tuyến,KD
175,175,175,EE3349,Cơ sở điều khiển tự động,2(2-1-0.4-4),2.0,3.5,0.75,175,EE2010,Fundamentals of Automatic Control,Cơ sở điều khiển tự động,KD
176,176,176,EE3359,Lý thuyết điều khiển tự động,3(3-1-0-6),3.0,4,0.5,176,"(MI1110/MI1111),(MI1140/MI1141)",Automatic Control Theory,Lý thuyết điều khiển tự động,KD
177,177,177,EE3369,Cơ sở tự động hoá,2(2-1-0.5-4),2.0,4,0.75,177,EE2010,Fundamentals of Automation,Cơ sở tự động hoá,KD
