,id,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Trọng số
58,58,FL1426,Tiếng Pháp AUF1,3(3-2-4-12),3,11,0.7
59,59,FL1427,Tiếng Pháp AUF2,3(3-1-5-12),3,11.5,0.7
60,60,MI1017,Toán đại cương I,2(2-0-0-4),2,2,0.7
61,61,ICT1010,Giới thiệu ICT,2,2,2,1
62,62,ICT1020,Kiến thức máy tính,4,4,4,1
63,63,ICT1030,Đạo lý máy tính,2,2,2,1
64,64,ICT1041,Tiếng Nhật 1,8(0-16-0-16),8,16,1
65,65,FL1012,Tiếng Anh VN I,3(2-1-0-4),3,3,1
66,66,SSH1060,Luật,2(2-0-0-4),2,2,0.7
67,67,MI1014,Toán I,5(5-3-0-10),5,8,0.5
68,68,FL1011,Tiếng Anh KSCLC I,5(5-2-0-10),5,7,0.5
69,69,EV1014,Môi trường,2(2-0-0-4),2,2,0.7
70,70,FL1016,Kỹ năng nói TA I,2(2-2-0-4),2,4,0.5
71,71,FL1017,Kỹ năng nghe TA I,2(2-2-0-4),2,4,0.6
72,72,FL1018,Kỹ năng đọc TA I,2(2-2-0-4),2,4,0.6
73,73,FL1019,Kỹ năng viết TA I,2(2-2-0-4),2,4,0.5
74,74,IT1013,Tin học đại cương,4(3-0-2-6),4,6,1
75,75,PH1017,Vật lý,4(4-0-0-8),4,4,0.7
76,76,ICT1043,Tiếng Nhật 3,4(0-8-0-8),4,8,1
77,77,FL1013,Tiếng Anh VN II,2(2-1-0-4),2,3,0.7
78,78,FL1021,Tiếng Anh KSCLC II,3(3-2-0-6),3,5,0.5
79,79,FL1026,Kỹ năng nói TA II,2(2-2-0-4),2,4,0.5
80,80,FL1027,Kỹ năng nghe TA II,2(2-2-0-4),2,4,0.6
81,81,FL1028,Kỹ năng đọc TA II,2(2-2-0-4),2,4,0.6
82,82,FL1029,Kỹ năng viết TA II,2(2-2-0-4),2,4,0.5
83,83,FL1401,Tiếng Pháp KSCLC 1,3(3-2-0-6),3,5,0.6
84,84,HUT0001,Rèn luyện, ,0,0,1
85,85,ICT1042,Tiếng Nhật 2,8(0-16-0-16),8,16,0.6
86,86,ICT1051,Tiếng Nhật chuyên ngành 1, ,2,0,0.6
87,87,ICT2010,Ngôn ngữ lập trình C,2,2,2,0.8
88,88,ICT2110,Thực hành ngôn ngữ lập trình C,4,4,4,0.7
89,89,ME1010,Hình họa,2(1-1-0-4),2,2,1
90,90,MI1016,Giải tích I,4(3-2-0-8),4,5,0.7
91,91,MI1023,Giải tích II,3(2-2-0-6),3,4,0.7
92,92,MI1024,Toán II,5(4-3-0-10),5,7,0.5
93,93,MI1027,Toán đại cương II,2(2-0-0-4),2,2,0.7
94,94,MI1043,Giải tích III,3(3-1-0-6),3,4,0.7
95,95,MI1127,Bài tập toán đại cương II,1(0-2-0-4),1,2,0.7
96,96,MI2027,Lý thuyết xác suất,2(2-0-0-4),2,2,0.7
97,97,MI2047,Toán rời rạc,2(2-0-0-4),2,2,0.7
98,98,PH1027,Vật lý,4(4-0-0-8),4,4,0.7
99,99,PH1019,Vật lý,4(4-0-0-8),4,4,0.5
100,100,ME2023,Đồ họa kỹ thuật,2(2-0-1-4),2,3.5,0.6
101,101,ME2140,Cơ học kỹ thuật I,3(2-2-0-6),3,4,0.7
102,102,ME2141,Cơ học kỹ thuật B,4(4-2-0-8),4,6,0.7
103,103,ME3010,Cơ học kỹ thuật II,3(2-2-0-6),3,4,0.7
104,104,ME3020,Vẽ kỹ thuật II,2(2-1-0-4),2,3,0.7
105,105,ME3030,Vẽ kỹ thuật III,2(2-1-0-4),2,3,0.7
106,106,ME3040,Sức bền vật liệu I,2(2-0-1-4),2,3.5,0.6
107,107,ME3060,Nguyên lý máy,3(3-0-1-6),3,4.5,0.6
108,108,ME3070,Kỹ thuật đo,3(3-0-1-6),3,4.5,0.7
109,109,ME3080,Kỹ thuật thủy khí,3(3-1-0.5-6),3,5,0.7
110,110,ME3087,Kỹ thuật thủy khí A,4(3-2-0.5-8),4,6,0.7
111,111,ME3090,Chi tiết máy,3(3-0-1-6),3,4.5,0.6
112,112,ME3110,Vật liệu chất dẻo và composite,2(2-0-1-4),2,3.5,0.7
113,113,ME3117,Vật liệu hàng không,2(2-1-0-4),2,3,0.7
114,114,ME3120,Kỹ thuật điều khiển tự động,3(3-0-1-6),3,4.5,0.7
115,115,ME3130,Đồ án chi tiết máy,2(0-0-4-4),2,4,1
116,116,ME3140,Kỹ thuật an toàn và môi trường,2(2-1-0-4),2,3,0.7
117,117,ME3150,Thực tập cơ khí,2(0-0-4-4),2,4,0.7
118,118,ME3160,Thực tập kỹ thuật,2(0-0-8-4),2,4,1
119,119,ME3167,Thực tập kỹ thuật ôtô,2.5(5-5-20-10),2.5,5,0.7
120,120,ME3170,Công nghệ chế tạo máy,4(4-0-1-8),4,5.5,0.7
121,121,ME3172,Công nghệ chế tạo máy I,4(4-2-0.5-8),4,7,0.7
122,122,ME3177,Công nghệ chế tạo máy C,3(3-1-0.5-6),3,5,0.6
123,123,ME3180,Đồ án công nghệ chế tạo máy,2(0-0-4-4),2,4,1
124,124,ME3182,Công nghệ chế tạo máy E1,3(3-1-0.5-6),3,5,0.7
125,125,ME3184,Đồ án máy thể tích,1(0-2-0-2),1,2,1
126,126,ME3186,"Máy dập CNC, PLC",2(2-1-0-4),2,3,1
127,127,ME3187,Đồ án môn học TKTT ôtô,1(0-2-0-2),1,2,1
128,128,ME3188,Đồ án máy bay,1(0-2-0-2),1,2,1
129,129,ME3190,Sức bền vật liệu,2(2-0-0-4),2,2,0.7
130,130,ME3200,Kỹ thuật thủy khí,2(2-1-0.5-4),2,4,0.7
131,131,ME3210,Nguyên lý máy,2(2-1-0-4),2,3,0.6
132,132,ME3220,Chi tiết máy C,2(2-1-0-4),2,3,0.7
133,133,ME3230,Dung sai và kỹ thuật đo,2(2-1-0-4),2,3,0.7
134,134,ME3400,Kỹ thuật thủy khí C,2(2-1-0.5-4),2,4,0.7
135,135,EE2040,Nhập môn thiết kế hệ thống điều khiển,3(3-1-0-6),3,4,0.7
136,136,EE3000,Tín hiệu và hệ thống,3(3-1-0-6),3,4,0.7
137,137,EE3010,Lý thuyết mạch điện I,4(3-2-0.5-6),4,6,0.7
138,138,EE3013,Lý thuyết mạch điện,4(4-1-0-8),4,5,0.7
139,139,EE3020,Lý thuyết mạch điện II,2(2-1-0.4-4),2,3.5,0.75
140,140,EE3023,Thí nghiệm mạch điện,1(0-0-2-2),1,3,0.7
141,141,EE3030,Lý thuyết trường điện từ,2(2-1-0.3-4),2,3.5,0.75
142,142,EE3033,Lý thuyết trường điện từ,2(2-0-0-4),2,2,0.7
143,143,EE3051,Mạch điện tử tương tự,2(2-1-0.5-4),2,4,0.75
144,144,EE3052,Mạch điện tử tương tự,3(3-1-0.5-6),3,5,0.75
145,145,EE3059,Cảm biến đo lường và xử lý tín hiệu đo,2(2-1-0-4),2,3,0.7
146,146,EE3062,Cơ sở kỹ thuật đo,3(3-1-0-6),3,4,0.75
147,147,EE3071,Kỹ thuật điện tử số,2(2-1-0.5-4),2,4,0.75
148,148,EE3090,Điện tử tương tự và số,4(3-1-1-8),4,5.5,0.7
149,149,EE3093,Thực hành mạch điện tử,1(0-0-3-2),1,4.5,0.7
150,150,EE3099,Điện tử tương tự và số,4(4-2-0.5-8),4,7,0.75
151,151,EE3109,Điện tử tương tự và điện tử số,2(2-1-0-4),2,3,0.75
152,152,EE3110,Kỹ thuật đo lường,3(3-0-1-6),3,4.5,0.6
153,153,EE3116,Kỹ thuật đo lường,3(3-0-0.5-6),3,4,0.7
154,154,EE3129,Kỹ thuật đo và điều khiển,2(2-1-0.4-4),2,3.5,0.75
155,155,EE3139,Hệ thống đồng hồ đo điện tử,2(2-1-0-4),2,3,0.75
156,156,EE3141,Máy điện cơ sở,3(3-0-1-8),3,4.5,0.7
157,157,EE3142,Máy điện I,2(2-1-0.4-4),2,3.5,0.7
158,158,EE3161,Máy điện II,3(3-1-0.5-6),3,5,0.75
159,159,EE3162,Máy điện II,2(2-1-0.4-4),2,3.5,0.75
160,160,EE3173,Máy điện,3(3-1-0-6),3,4,0.7
161,161,EE3186,Mạch từ và máy biến áp,2(2-1-0-4),2,3,0.75
162,162,EE3196,Máy điện,3(2-1-1-4),3,4.5,0.75
163,163,EE3209,Máy điện,2(2-1-0.4-4),2,3.5,0.75
164,164,EE3229,Thiết bị điện,3(3-1-0.3-6),3,4.5,0.75
165,165,EE3239,Thiết bị điện,2(1-1-0.3-2),2,2.5,0.75
166,166,EE3241,Khí cụ điện,3(3-1-0.3-6),3,4.5,0.75
167,167,EE3242,Khí cụ điện,2(2-0-1-4),2,3.5,0.75
168,168,EE3243,Khí cụ điện,2(2-0-0.5-4),2,3,0.7
169,169,EE3251,Cơ sở lý thuyết khí cụ điện,3(3-2-0.3-6),3,5.5,0.75
170,170,EE3269,Khí cụ điện,3(3-1-0.3-6),3,4.5,0.75
171,171,EE3279,Khí cụ điện,2(2-1-0.3-4),2,3.5,0.75
172,172,EE3281,Lý thuyết điều khiển tự động I,2(2-1-0.5-4),2,4,0.75
173,173,EE3283,Lý thuyết điều khiển tuyến tính,4(3-1-0.5-8),4,5,0.7
174,174,EE3293,Lý thuyết điều khiển phi tuyến,4(3-1-0.5-8),4,5,0.7
175,175,EE3349,Cơ sở điều khiển tự động,2(2-1-0.4-4),2,3.5,0.75
176,176,EE3359,Lý thuyết điều khiển tự động,3(3-1-0-6),3,4,0.5
177,177,EE3369,Cơ sở tự động hoá,2(2-1-0.5-4),2,4,0.75
178,178,EE3389,Tự động hoá quá trình công nghệ,3(3-1-0.5-6),3,5,0.75
179,179,EE3391,Vật liệu điện cao áp,4(4-1-0.4-8),4,5.5,0.75
180,180,EE3392,Vật liệu điện,2(2-1-0.4-4),2,3.5,0.75
181,181,EE3410,Điện tử công suất,3(3-0-1-6),3,4.5,0.75
182,182,EE3413,Điện tử công suất,4(3-1-0.5-8),4,5,0.7
183,183,EE3421,Cung cấp điện,3(3-1-0-6),3,4,0.7
184,184,EE3422,Hệ thống cung cấp điện,3(3-1-0.4-6),3,4.5,0.75
185,185,EE3432,Đồ án cung cấp điện,1(1-1-0-4),1,2,1
186,186,EE3469,Hệ thống cung cấp điện,2(2-1-0-4),2,3,1
187,187,EE3479,Đồ án cung cấp điện,1(1-1-0-4),1,2,1
188,188,EE3480,Vi xử lý,3(3-0-1-6),3,4.5,0.7
189,189,EE3483,Kỹ thuật vi xử lý,4(3-1-0.5-8),4,5,0.7
190,190,EE3490,Kỹ thuật lập trình,3(3-1-0-6),3,4,0.7
191,191,EE3499,Vi xử lí,2(2-1-0-4),2,3,0.75
192,192,EE3500,Hệ thống thông tin công nghiệp,2(2-1-0.4-4),2,3.5,0.75
193,193,EE3510,Truyền động điện,3(3-0-1-6),3,4.5,0.75
194,194,EE3513,Truyền động điện,4(3-1-0.5-8),4,5,0.7
195,195,EE3526,Truyền động điện,2(2-1-0-4),2,3,0.75
196,196,EE3539,Truyền động điện,2(2-1-0-4),2,3,0.75
197,197,EE3549,Truyền động điện,2(2-0-0-4),2,2,0.75
198,198,EE3552,Điều khiển quá trình,2(2-1-0.5-4),2,4,0.7
199,199,EE3553,Điều khiển quá trình,3(2-1-0.5-6),3,4,0.7
200,200,EE3569,Trang bị điện máy sản xuất,2(2-1-0-4),2,3,0.75
201,201,EE3570,Thực tập nhận thức,1(0-0-2-2),1,2,1
202,202,EE3573,Đồ án nhận thức thực tế,1(0-0-3-2),1,2,1
203,203,EE3580,Thực tập xưởng điện,2(0-0-4-4),2,4,1
204,204,ET3000,Lập trình,3(3-1-1-6),3,5.5,0.7
205,205,ET3030,Lý thuyết mạch,4(4-1-1-8),4,6.5,0.7
206,206,ET3050,Lý thuyết thông tin,3(3-1-0.5-6),3,5,0.7
207,207,ET3060,Điện tử số,3(3-1-1-6),3,5.5,0.7
208,208,ET3070,Cấu kiện điện tử,3(3-1-1-6),3,5.5,0.7
209,209,ET3080,Xử lý số tín hiệu,3(3-1-0.5-6),3,5,0.7
210,210,ET3090,Điện tử tương tự I,3(3-1-1-6),3,5.5,0.7
211,211,ET30xx,Lập trình,4(3-1-1-8),4,5.5,0.7
212,212,ET3110,Kỹ thuật vi xử lý,4(4-1-1-8),4,6.5,0.5
213,213,ET3130,Thông tin số,3(3-1-0.5-6),3,5,0.7
214,214,ET3140,Điện tử tương tự II,3(3-1-1-6),3,5.5,0.7
215,215,ET3150,Cơ sở đo lường điện tử,3(3-1-0.5-6),3,5,0.7
216,216,ET3170,Đồ án thiết kế I,2(1-1-1-4),2,4,1
217,217,ET3180,Thông tin vô tuyến,3(3-0-1-6),3,4.5,0.7
218,218,ET3200,Cơ sở mạng thông tin,2(2-1-0-4),2,3,0.7
219,219,ET3550,Thực tập cơ bản,3(0-0-9-0),3,6,1
220,220,ET3560,Thực tập nâng cao,3(0-0-9-0),3,6,1
221,221,MI1026,Giải tích II,4(3-2-0-8),4,5,0.7
222,222,MI1034,Toán III,5(4-3-0-10),5,7,0.5
223,223,MI1036,Đại số,4(3-2-0-8),4,5,0.7
224,224,MI1046,Phương trình vi phân và chuỗi,3(2-2-0-6),3,4,0.7
225,225,MI2013,Phương pháp tính,3(3-0-1-6),3,4.5,0.7
226,226,MI2023,Xác suất thống kê,3(2-2-0-6),3,4,0.7
227,227,MI2026,Xác xuất thống kê,4(3-2-0-8),4,5,0.7
228,228,MI2033,Xác suất nâng cao,2(2-1-0-4),2,3,0.7
229,229,MI2044,Phương pháp tính,2(2-1-0-4),2,3,0.5
230,230,MI3010,Toán rời rạc,3(3-1-0-6),3,4,0.7
231,231,MI3014,Tối ưu hoá,2(2-0-0-4),2,2,0.5
232,232,MI3015,Toán ứng dụng,2(2-1-0-4),2,3,0.7
233,233,MI3020,Giải tích hàm,3(3-1-0-6),3,4,0.7
234,234,MI3025,Logic học,2(2-1-0-4),2,3,0.7
235,235,MI3030,Xác suất thống kê,4(3-2-0-8),4,5,0.7
236,236,MI3034,Phép tính hình thức & ứng dụng,1(1-0-0-2),1,1,0.5
237,237,MSE4418,Thực tập kỹ thuật,2(0-0-4-6),2,4,0.7
238,238,EE4423,Thiết bị khí nén và thủy lực trong tự động hóa,3(3-1-0-6),3,4,0.75
239,239,EE4422,Vi điều khiển và ứng dụng,3(2-1-1-6),3,4.5,0.75
240,240,FLE1204,Language Communication Skills 2,4(2-2-0-8),4,4,0.6
241,241,FLE1205,Dealing with Texts 2,3(2-1-0-4),3,3,0.6
242,242,FLE1206,Learning to learn 2 (BTL),3(2-1-0-4),3,3,0.6
243,243,FLE1207,Professional skills 1,4(2-2-0-8),4,4,0.5
244,244,IT3072E,Operating Systems,2(2-0-0-4),2,2,0.7
245,245,MSE4001,Vật liệu kỹ thuật,2(2-0-0-4),2,2,0.7
246,246,ET3046,Cơ sinh,3(2-1-0.5-6),3,4,0.7
247,247,ET3116,Kỹ thuật vi xử lý,4(3-1-1-8),4,5.5,0.7
248,248,ET3146,Mạch điện tử II,4(3-1-1-8),4,5.5,0.7
249,249,ET4010E,Đồ án thiết kế,3(0-0-6-12),3,6,1
250,250,ET4020E,Xử lý số tín hiệu,3(3-0-1-6),3,4.5,0.7
251,251,ET4040E,Kiến trúc máy tính,3(3-0-1-6),3,4.5,0.7
252,252,ET4070E,Thông tin số 1,3(3-0-1-6),3,4.5,0.7
253,253,ET4080E,Cơ sở kỹ thuật mạng,3(3-1-0-6),3,4,0.7
254,254,ET4218,Thiết kế Kỹ thuật y sinh IV,1(0-2-0-2),1,2,0.7
255,255,ET5080E,Thiết kế số sử dụng VHDL,3(3-1-0-6),3,4,0.7
256,256,ET3310,Lý thuyết mật mã,3(3-1-0-6),3,4,0.7
257,257,CH2014,Hóa sinh đại cương,3(3-0-0-6),3,3,0.7
258,258,TEX5163,Quá trình sản xuất xơ sợi nhân tạo,2(2-0-1-4),2,3.5,0.7
259,259,TEX3104,Đồ án thiết kế,3(0-0-6-6),3,6,0.5
260,260,EE5072,Cơ khí đường dây,2(2-1-0-4),2,3,0.7
261,261,IT4779,Xử lý dữ liệu lớn,2(2-1-0-4),2,3,0.7
262,262,IT4756,Thương mại điện tử,2(2-1-0-4),2,3,0.7
263,263,IT4757,Kỹ thuật mô hình hóa và mô phỏng,2(2-1-0-4),2,3,0.6
264,264,IT4766,Lập trình kịch bản với JavaScript,2(2-1-0-4),2,3,0.6
265,265,IT4867,Xử lý dữ liệu phân tán,2(2-1-0-4),2,3,0.6
266,266,IT4868,Khai phá Web,3(3-1-0-6),3,4,0.6
267,267,IT3680,Thuật toán ứng dụng,3(0-0-6-6),3,9,0.7
268,268,BF5831,Thực tập tốt nghiệp KTTP,3(0-0-6-6),3,7.5,0.5
269,269,CH1020,Hoá học đại cương,3(2-1-1-6),3,4.5,0.7
270,270,EE4536,Dụng cụ và hệ thống tự động hóa đo trong xử lý môi trường,2(2-1-0-4),2,3,0.7
271,271,MSE3306,Các tính chất điện tử của vật liệu,3(3-0-0-6),3,3,0.7
272,272,ME2112,Cơ học kỹ thuật 1,2(2-1-0-4),2,3,0.7
273,273,IT4912,Điện toán đám mây - nguồn mở,2(2-2-0-4),2,4,0.7
274,274,IT4404,Phát triển Web trên nền tảng mã nguồn mở,2(2-1-0-4),2,3,0.7
275,275,IT3112,Hạ tầng công nghệ thông tin mã nguồn mở,2(2-1-0-4),2,3,0.7
276,276,IT4532,Đổi mới sáng tạo và khởi nghiệp công nghệ,2(2-1-0-4),2,3,0.7
277,277,TEX4005,Hình họa thời trang cơ bản,2(0-0-4-4),2,6,0.6
278,278,TEX4015,Mỹ thuật trang phục,3(1-0-4-6),3,7,0.6
279,279,TEX4025,Hình họa thời trang nâng cao,2(0-0-4-4),2,6,0.6
280,280,TEX4035,Lịch sử trang phục,2(1-2-0-4),2,3,0.6
281,281,TEX4045,Phát triển ý tưởng thời trang,3(0-0-6-6),3,9,0.6
282,282,TEX4055,Thiết kế thời trang theo chuyên đề,2(1-2-0-4),2,4,0.6
283,283,TEX4065,Tin học ứng dụng trong thiết kế thời trang,2(0-0-4-4),2,6,0.6
284,284,TEX4075,Lịch sử thiết kế mỹ thuật,2(2-1-0-4),2,3,0.6
285,285,TEX4085,Trình diễn thời trang,2(1-2-0-4),2,3,0.6
286,286,TEX4095,Thương hiệu thời trang,2(1-2-0-4),2,3,0.6
287,287,TEX4105,Tâm lý và hành vi khách hàng thời trang,2(1-2-0-4),2,3,0.7
288,288,TEX4115,Kỹ thuật trang trí sản phẩm thời trang,2(1-2-0-4),2,3,0.6
289,289,TEX5005,Đồ họa quảng cáo thời trang,2(1-2-0-4),2,3,0.6
290,290,TEX5015,Dự báo xu hướng thời trang,2(1-2-0-4),2,3,0.6
291,291,TEX5025,Tạo mẫu thời trang mang phong cách dân tộc,3(1-4-0-6),3,5,0.6
292,292,TEX5035,Tạo mẫu thời trang 3D,2(0-0-4-4),2,6,0.6
293,293,TEX5045,Thiết kế bộ sưu tập thời trang công nghiệp,2(2-1-0-4),2,3,0.6
294,294,TEX5055,Đồ án thiết kế thời trang công nghiệp,3(0-0-6-6),3,9,0.5
295,295,TEX5065,Tạo mẫu phụ trang,2(1-2-0-4),2,3,0.6
296,296,TEX5075,Thiết kế phụ trang,2(0-0-4-4),2,6,0.6
297,297,TEX5095,Phong cách thời trang,2(1-2-0-4),2,3,0.6
298,298,IT3362,Kỹ năng ITSS học bằng tiếng Nhật 1,2(0-4-0-4),2,4,0.5
299,299,IT3382,Kỹ năng ITSS học bằng tiếng Nhật 2,2(0-4-0-4),2,4,0.5
300,300,EE1002,Nhập môn công nghệ kỹ thuật điện,2(2-0-1-4),2,3.5,0.7
301,301,EE3511,Truyền động điện,3(3-0-1-6),3,4.5,0.7
302,302,EE3111,Kỹ thuật đo lường,2(2-0-1-4),2,3.5,0.7
303,303,EE3412,Điện tử công suất,3(3-0-1-6),3,4.5,0.7
304,304,EE3081,Máy điện II,3(3-1-0-6),3,4,0.7
305,305,EE3050,Vật liệu kỹ thuật điện,3(3-1-0-6),3,4,0.7
306,306,EE3171,Thí nghiệm HTĐ I,1(0-0-2-2),1,3,1
307,307,EE3070,Điều khiển máy điện,3(3-0-1-6),3,4.5,0.5
308,308,EE3082,Chiếu sáng dân dụng & công nghiệp,3(3-1-0-6),3,4,0.7
309,309,EE3060,Thiết bị đóng cắt cao áp,3(3-0-1-6),3,4.5,0.7
310,310,EE3061,Máy điện III,3(3-1-0-6),3,4,0.7
311,311,EE3267,Công nghệ chế tạo máy điện,3(3-1-0-6),3,4,0.7
312,312,EE3170,Lưới điện I,4(4-1-0-8),4,5,0.7
313,313,EE3172,Ngắn mạch trong HTĐ,3(3-1-0-6),3,4,0.7
314,314,EE3174,Bảo vệ và điều khiển HTĐ I,3(3-1-0-6),3,4,0.7
315,315,EE3175,Thí nghiệm HTĐ III (BV & ĐK),1(0-0-2-2),1,3,1
316,316,EE3176,Phần điện Nhà máy điện và Trạm biến áp,3(3-1-0-6),3,4,0.7
317,317,EE3177,Thí nghiệm HTĐ IV (NMĐ & TBA),1(0-0-2-2),1,3,1
318,318,EE3830,Đồ án III,2(0-0-4-4),2,4,1
319,319,MI2001,Nhập môn HTTTQL,3(3-0-0-6),3,3,0.7
320,320,MI3031,Suy luận thống kê,3(2-2-0-6),3,4,0.7
321,321,MI4260,An toàn HTTT,3(3-1-0-6),3,4,0.7
322,322,EM3109,Kinh tế học đại cương,4(3-2-0-8),4,5,0.7
323,323,MI4202,Khai phá dữ liệu,3(3-1-0-6),3,4,0.7
324,324,MI4212,Kho dữ liệu và kinh doanh thông minh,3(3-1-0-6),3,4,0.7
325,325,EM4210,Khởi sự kinh doanh,3(2-2-0-6),3,4,0.6
326,326,MI4402,Lập trình mobile,3(2-0-2-6),3,5,0.7
327,327,MI4302,Hệ thống phân tán,3(2-0-2-6),3,5,0.7
328,328,MI4412,Quản trị dự án CNTT,3(2-2-0-6),3,4,0.7
329,329,MI4422,Quản trị quan hệ khách hàng,3(3-1-0-6),3,4,0.7
330,330,MI4392,Công nghệ web và kinh doanh điện tử,3(2-0-2-6),3,5,0.7
331,331,EM2210,Giao tiếp kinh doanh và thuyết trình,2(2-1-0-4),2,3,0.7
332,332,EM3221,Kỹ năng viết báo cáo khoa học,2(1-2-0-4),2,3,0.7
333,333,MI1111,Giải tích I,4(3-2-0-8),4,5,0.7
334,334,MI1121,Giải tích II,3(2-2-0-6),3,4,0.7
335,335,MI1131,Giải tích III,3(2-2-0-6),3,4,0.7
336,336,MI1141,Đại số,4(3-2-0-8),4,5,0.7
337,337,MI1112,Giải tích I,3(2-2-0-6),3,4,0.7
338,338,MI1122,Giải tích II,3(2-2-0-6),3,4,0.7
339,339,MI1132,Giải tích III,3(2-2-0-6),3,4,0.7
340,340,MI1142,Đại số,3(2-2-0-6),3,4,0.7
341,341,MI1113,Giải tích I,4(3-2-0-8),4,5,0.7
342,342,MI1133,Giải tích III,3(2-2-0-6),3,4,0.7
343,343,MI1143,Đại số,4(3-2-0-8),4,5,0.7
